Scientific name,Extinction date 
Larus atlanticus,2019
Corvus sinaloae,2019
Hemignathus hanapepe,1950
Cinnyris prigoginei,2019
Malimbus ibadanensis,2019
Scytalopus novacapitalis,2019
Indicator pumilio,2019
Buteo trizonatus,2019
Formicarius rufifrons,2019
Hemignathus affinis,1955
Cranioleuca dissita,2019
Synallaxis zimmeri,2019
Sheppardia gabela,2019
Melaniparus carpi,2019
Prionops gabela,2019
Mirafra williamsi,2019
Grallaria chthonia,2019
Phylloscopus intensior,2019
Zosterops strenuus,1918
Eriocnemis godini,1915
Ptilinopus arcanus,2019
Apalis kaboboensis,2019
Megalurulus turipavae,2019
Sylvietta philippae,2019
Macronyx grimwoodi,2019
Cossypha heinrichi,2019
Erythropitta splendida,2019
Phyllastrephus viridiceps,2019
Zoothera turipavae,2019
Bulweria fallax,2019
Mergus australis,1906
Calamonastides bensoni,2019
Tachybaptus rufolavatus,1997
Coeligena orina,2019
Dicaeum kampalili,2019
Ploceus upembae,2019
Rhabdornis grandis,2019
Turdus ravidus,1952
Hemitriccus kaempferi,2019
Eudyptes robustus,2019
Coeligena consita,2019
Pternistis ochropectus,2019
Edolisoma ostentum,2019
Crithagra koliensis,2019
Anthus chacoensis,2019
Incaspiza ortizi,2019
Zosterornis nigrorum,2019
Megascops colombianus,2019
Phodilus prigoginei,2019
Chlorophoneus kupeensis,2019
Melidectes princeps,2019
Ficedula crypta,2019
Nephelomyias lintoni,2019
Psittacula roseata,2019
Ninox randi,2019
Phaethornis aethopygus,2019
Synallaxis infuscata,2019
Phylloscopus borealoides,2019
Rhabdornis rabori,2019
Picumnus nigropunctatus,2019
Otus nigrorum,2019
Lophornis brachylophus,2019
Hypotaenidia immaculata,2019
Hypotaenidia tertia,2019
Heteralocha acutirostris,1907
Premnoplex pariae,2019
Kupeornis chapini,2019
Kupeornis gilberti,2019
Myioborus pariae,2019
Pterodroma caribbaea,1936
Pterodroma ultima,2019
Glaucidium sanchezi,2019
Sceloglaux albifacies,1914
Tinamus osgoodi,2019
Cnemophilus sanguineus,2019
Spelaeornis badeigularis,2019
Zanda latirostris,2019
Trogon comptus,2019
Metallura iracunda,2019
Asthenes usheri,2019
Automolus lammi,2019
Sylvietta chapini,2019
Atlapetes forbesi,2019
Ploceus katangae,2019
Ploceus spekeoides,2019
Fregilupus varius,1855
Zosterops kulalensis,2019
Pyrrhura caeruleiceps,2019
Rhynchopsitta terrisi,2019
Ptilinopus mercierii,1922
Oreophilais robertsi,2019
Grallaria saltuensis,2019
Myioborus albifacies,2019
Dubusia carrikeri,2019
Thryophilus nicefori,2019
Procellaria westlandica,2019
