species,description_year,extinction_year
Anthreptes.fraseri,1843,NA
Anthreptes.gabonicus,1861,NA
Anthreptes.longuemarei,1831,NA
Anthreptes.malacensis,1786,NA
Anthreptes.metallicus,1823,NA
Anthreptes.neglectus,1922,NA
Anthreptes.orientalis,1880,NA
Anthreptes.pallidigaster,1935,NA
Anthreptes.platurus,1819,NA
Anthreptes.rectirostris,1812,NA
Anthreptes.reichenowi,1909,NA
Anthreptes.rhodolaemus,1878,NA
Anthreptes.rubritorques,1905,NA
Anthreptes.simplex,1843,NA
Anthreptes.singalensis,1788,NA
Anthus.bogotensis,1855,NA
Anthus.brachyurus,1851,NA
Anthus.caffer,1851,NA
Anthus.campestris,1758,NA
Anthus.cervinus,1811,NA
Anthus.chacoensis,1952,NA
Anthus.chloris,1842,NA
Anthus.correndera,1818,NA
Anthus.crenatus,1870,NA
Anthus.furcatus,1837,NA
Anthus.godlewskii,1876,NA
Anthus.gustavi,1863,NA
Anthus.hellmayri,1909,NA
Anthus.hodgsoni,1907,NA
Anthus.hoeschi,1938,NA
Anthus.leucophrys,1818,NA
Anthus.lineiventris,1851,NA
Anthus.longicaudatus,1996,NA
Anthus.lutescens,1855,NA
Anthus.melindae,1900,NA
Anthus.nattereri,1878,NA
Anthus.nilgiriensis,1885,NA
Anthus.pallidiventris,1885,NA
Anthus.petrosus,1798,NA
Anthus.pratensis,1758,NA
Anthus.richardi,1818,NA
Anthus.roseatus,1847,NA
Anthus.rubescens,1771,NA
Anthus.rufulus,1818,NA
Anthus.similis,1840,NA
Anthus.sokokensis,1921,NA
Anthus.spinoletta,1758,NA
Anthus.spragueii,1844,NA
Anthus.sylvanus,1845,NA
Anthus.trivialis,1758,NA
Anthus.vaalensis,1900,NA
Antilophia.bokermanni,1998,NA
Antilophia.galeata,1823,NA
Anumbius.annumbi,1817,NA
Anurolimnas.castaneiceps,1868,NA
Anurolimnas.fasciatus,1867,NA
Anurolimnas.viridis,1776,NA
Apalis.argentea,1941,NA
Apalis.bamendae,1922,NA
Apalis.binotata,1895,NA
Apalis.chapini,1928,NA
Apalis.chariessa,1879,NA
Apalis.chirindensis,1906,NA
Apalis.cinerea,1891,NA
Apalis.flavida,1852,NA
Apalis.flavigularis,1893,NA
Apalis.fuscigularis,1938,NA
Apalis.goslingi,1908,NA
Apalis.jacksoni,1891,NA
Apalis.karamojae,1921,NA
Apalis.lynesi,1933,NA
Apalis.melanocephala,1884,NA
Apalis.nigriceps,1873,NA
Apalis.personata,1902,NA
Apalis.porphyrolaema,1895,NA
Apalis.ruddi,1908,NA
Apalis.rufogularis,1843,NA
Apalis.sharpii,1884,NA
Apalis.thoracica,1811,NA
Apaloderma.aequatoriale,1901,NA
Apaloderma.narina,1815,NA
Apaloderma.vittatum,1882,NA
Aphanotriccus.audax,1912,NA
Aphanotriccus.capitalis,1865,NA
Aphantochroa.cirrochloris,1818,NA
Aphelocoma.californica,1839,NA
Aphelocoma.coerulescens,1795,NA
Aphelocoma.ultramarina,1825,NA
Aphelocoma.unicolor,1847,NA
Aphrastura.spinicauda,1789,NA
Aphriza.virgata,1789,NA
Aplonis.panayensis,1783,NA
Aplopelia.larvata,1809,NA
Aptenodytes.patagonicus,1778,NA
Apus.acuticauda,1864,NA
Apus.affinis,1830,NA
Apus.apus,1758,NA
Apus.barbatus,1865,NA
Apus.batesi,1904,NA
Apus.berliozi,1965,NA
Apus.bradfieldi,1926,NA
Apus.caffer,1823,NA
Apus.horus,1869,NA
Apus.niansae,1887,NA
Apus.nipalensis,1836,NA
Apus.pacificus,1802,NA
Apus.pallidus,1855,NA
Apus.sladeniae,1904,NA
Apus.toulsoni,1877,NA
Apus.unicolor,1830,NA
Aquila.adalberti,1861,NA
Aquila.africanus,1865,NA
Aquila.chrysaetos,1758,NA
Aquila.clanga,1811,NA
Aquila.fasciatus,1822,NA
Aquila.hastata,1831,NA
Aquila.heliaca,1809,NA
Aquila.nipalensis,1833,NA
Aquila.pomarina,1831,NA
Aquila.rapax,1828,NA
Aquila.verreauxii,1830,NA
Aquila.wahlbergi,1851,NA
Ara.ambiguus,1811,NA
Ara.ararauna,1758,NA
Ara.chloropterus,1859,NA
Ara.glaucogularis,1921,NA
Ara.macao,1758,NA
Ara.militaris,1766,NA
Ara.rubrogenys,1847,NA
Ara.severus,1758,NA
Arachnothera.affinis,1822,NA
Arachnothera.chrysogenys,1826,NA
Arachnothera.crassirostris,1854,NA
Arachnothera.flavigaster,1839,NA
Arachnothera.longirostra,1790,NA
Arachnothera.magna,1837,NA
Arachnothera.robusta,1845,NA
Aramides.axillaris,1863,NA
Aramides.cajanea,1776,NA
Aramides.calopterus,1878,NA
Aramides.mangle,1825,NA
Aramides.saracura,1825,NA
Aramides.wolfi,1884,NA
Aramides.ypecaha,1819,NA
Aramus.guarauna,1766,NA
Aratinga.acuticaudata,1818,NA
Aratinga.aurea,1788,NA
Aratinga.auricapillus,1820,NA
Aratinga.cactorum,1820,NA
Aratinga.canicularis,1758,NA
Aratinga.erythrogenys,1844,NA
Aratinga.finschi,1871,NA
Aratinga.holochlora,1859,NA
Aratinga.jandaya,1788,NA
Aratinga.leucophthalma,1776,NA
Aratinga.mitrata,1844,NA
Aratinga.nana,1830,NA
Aratinga.pertinax,1758,NA
Aratinga.rubritorquis,1887,NA
Aratinga.solstitialis,1758,NA
Aratinga.wagleri,1845,NA
Aratinga.weddellii,1851,NA
Arborophila.ardens,1892,NA
Arborophila.atrogularis,1850,NA
Arborophila.brunneopectus,1855,NA
Arborophila.cambodiana,1928,NA
Arborophila.campbelli,1904,NA
Arborophila.charltonii,1845,NA
Arborophila.chloropus,1859,NA
Arborophila.davidi,1927,NA
Arborophila.gingica,1789,NA
Arborophila.mandellii,1874,NA
Arborophila.rufipectus,1932,NA
Arborophila.rufogularis,1850,NA
Arborophila.torqueola,1826,NA
Archilochus.alexandri,1846,NA
Archilochus.colubris,1758,NA
Ardea.cinerea,1758,NA
Ardea.cocoi,1766,NA
Ardea.goliath,1827,NA
Ardea.herodias,1758,NA
Ardea.insignis,1878,NA
Ardea.melanocephala,1826,NA
Ardea.purpurea,1766,NA
Ardea.sumatrana,1822,NA
Ardeola.bacchus,1855,NA
Ardeola.grayii,1832,NA
Ardeola.idae,1860,NA
Ardeola.ralloides,1769,NA
Ardeola.rufiventris,1851,NA
Ardeola.speciosa,1821,NA
Ardeotis.arabs,1758,NA
Ardeotis.kori,1822,NA
Ardeotis.nigriceps,1831,NA
Arenaria.interpres,1758,NA
Arenaria.melanocephala,1829,NA
Argusianus.argus,1766,NA
Arremon.abeillei,1844,NA
Arremon.aurantiirostris,1847,NA
Arremon.brunneinucha,1839,NA
Arremon.castaneiceps,1859,NA
Arremon.crassirostris,1865,NA
Arremon.flavirostris,1838,NA
Arremon.franciscanus,1997,NA
Arremon.schlegeli,1851,NA
Arremon.semitorquatus,1837,NA
Arremon.taciturnus,1783,NA
Arremon.torquatus,1837,NA
Arremon.virenticeps,1855,NA
Arremonops.chloronotus,1861,NA
Arremonops.conirostris,1850,NA
Arremonops.rufivirgatus,1851,NA
Arremonops.tocuyensis,1912,NA
Artamus.fuscus,1817,NA
Artisornis.metopias,1907,NA
Artisornis.moreaui,1931,NA
Arundinicola.leucocephala,1764,NA
Asio.abyssinicus,1843,NA
Asio.capensis,1834,NA
Asio.flammeus,1763,NA
Asio.otus,1758,NA
Asio.stygius,1832,NA
Aspatha.gularis,1840,NA
Asthenes.anthoides,1831,NA
Asthenes.baeri,1906,NA
Asthenes.berlepschi,1917,NA
Asthenes.coryi,1888,NA
Asthenes.dorbignyi,1853,NA
Asthenes.flammulata,1850,NA
Asthenes.fuliginosa,1843,NA
Asthenes.griseomurina,1882,NA
Asthenes.harterti,1901,NA
Asthenes.helleri,1923,NA
Asthenes.heterura,1901,NA
Asthenes.hudsoni,1874,NA
Asthenes.humilis,1873,NA
Asthenes.luizae,1990,NA
Asthenes.maculicauda,1901,NA
Asthenes.modesta,1851,NA
Asthenes.moreirae,1906,NA
Asthenes.ottonis,1901,NA
Asthenes.palpebralis,1873,NA
Asthenes.perijana,1977,NA
Asthenes.pudibunda,1874,NA
Asthenes.pyrrholeuca,1817,NA
Asthenes.sclateri,1878,NA
Asthenes.urubambensis,1919,NA
Asthenes.vilcabambae,1972,NA
Asthenes.virgata,1874,NA
Asthenes.wyatti,1871,NA
Atalotriccus.pilaris,1847,NA
Athene.brama,1821,NA
Athene.cunicularia,1782,NA
Athene.noctua,1769,NA
Atlapetes.albiceps,1884,NA
Atlapetes.albinucha,1838,NA
Atlapetes.albofrenatus,1840,NA
Atlapetes.blancae,2007,NA
Atlapetes.canigenis,1919,NA
Atlapetes.citrinellus,1883,NA
Atlapetes.flaviceps,1912,NA
Atlapetes.forbesi,1947,NA
Atlapetes.fulviceps,1837,NA
Atlapetes.fuscoolivaceus,1914,NA
Atlapetes.latinuchus,1855,NA
Atlapetes.leucopis,1878,NA
Atlapetes.leucopterus,1856,NA
Atlapetes.melanocephalus,1880,NA
Atlapetes.melanolaemus,1879,NA
Atlapetes.melanopsis,2002,NA
Atlapetes.nationi,1881,NA
Atlapetes.pallidiceps,1900,NA
Atlapetes.pallidinucha,1840,NA
Atlapetes.personatus,1848,NA
Atlapetes.pileatus,1831,NA
Atlapetes.rufigenis,1895,NA
Atlapetes.rufinucha,1837,NA
Atlapetes.schistaceus,1840,NA
Atlapetes.seebohmi,1883,NA
Atlapetes.semirufus,1840,NA
Atlapetes.terborghi,1993,NA
Atlapetes.tricolor,1874,NA
Attagis.gayi,1831,NA
Attagis.malouinus,1783,NA
Atthis.ellioti,1878,NA
Atthis.heloisa,1839,NA
Atticora.fasciata,1789,NA
Atticora.melanoleuca,1820,NA
Attila.bolivianus,1848,NA
Attila.cinnamomeus,1789,NA
Attila.citriniventris,1859,NA
Attila.phoenicurus,1868,NA
Attila.rufus,1819,NA
Attila.spadiceus,1789,NA
Attila.torridus,1860,NA
Augastes.lumachella,1838,NA
Augastes.scutatus,1822,NA
Aulacorhynchus.coeruleicinctis,1840,NA
Aulacorhynchus.derbianus,1835,NA
Aulacorhynchus.haematopygus,1835,NA
