species,description_year,extinction_year
Coendou.nycthemera,1818,NA
Coendou.prehensilis,1758,NA
Coendou.quichua,1899,NA
Coendou.rothschildi,1902,NA
Coendou.sanctamartae,1904,NA
Coleura.afra,1852,NA
Colobus.angolensis,1860,NA
Colobus.guereza,1835,NA
Colobus.polykomos,1780,NA
Colobus.satanas,1838,NA
Colobus.vellerosus,1834,NA
Colomys.goslingi,1907,NA
Condylura.cristata,1758,NA
Conepatus.chinga,1782,NA
Conepatus.humboldtii,1837,NA
Conepatus.leuconotus,1832,NA
Conepatus.semistriatus,1785,NA
Congosorex.phillipsorum,2005,NA
Congosorex.polli,1956,NA
Congosorex.verheyeni,2002,NA
Conilurus.penicillatus,1842,NA
Connochaetes.gnou,1780,NA
Connochaetes.taurinus,1823,NA
Cormura.brevirostris,1843,NA
Corynorhinus.mexicanus,1916,NA
Corynorhinus.rafinesquii,1827,NA
Corynorhinus.townsendii,1837,NA
Craseonycteris.thonglongyai,1974,NA
Cratogeomys.castanops,1852,NA
Cratogeomys.fulvescens,1895,NA
Cratogeomys.fumosus,1892,NA
Cratogeomys.goldmani,1895,NA
Cratogeomys.merriami,1893,NA
Cratogeomys.perotensis,1895,NA
Cratogeomys.planiceps,1895,NA
Cremnomys.cutchicus,1912,NA
Cremnomys.elvira,1946,NA
Cricetomys.emini,1910,NA
Cricetomys.gambianus,1840,NA
Cricetulus.alticola,1917,NA
Cricetulus.barabensis,1773,NA
Cricetulus.kamensis,1903,NA
Cricetulus.lama,1905,NA
Cricetulus.longicaudatus,1867,NA
Cricetulus.migratorius,1773,NA
Cricetulus.sokolovi,1988,NA
Cricetulus.tibetanus,1922,NA
Cricetus.cricetus,1758,NA
Crocidura.aleksandrisi,1977,NA
Crocidura.allex,1910,NA
Crocidura.andamanensis,1902,NA
Crocidura.ansellorum,1987,NA
Crocidura.arabica,1988,NA
Crocidura.arispa,1971,NA
Crocidura.armenica,1963,NA
Crocidura.attenuata,1872,NA
Crocidura.attila,1915,NA
Crocidura.baileyi,1936,NA
Crocidura.baluensis,1898,NA
Crocidura.batesi,1915,NA
Crocidura.bottegi,1898,NA
Crocidura.bottegoides,1990,NA
Crocidura.buettikoferi,1888,NA
Crocidura.caliginea,1916,NA
Crocidura.caspica,1907,NA
Crocidura.cinderella,1911,NA
Crocidura.congobelgica,1916,NA
