species,description_year,extinction_year
Eleotris.pisonis,1789,NA
Eleotris.sandwicensis,1875,NA
Elops.affinis,1909,NA
Elops.saurus,1766,NA
Enneacanthus.chaetodon,1855,NA
Enneacanthus.gloriosus,1855,NA
Enneacanthus.obesus,1854,NA
Entosphenus.hubbsi,1976,NA
Epigonus.macrops,1906,NA
Epinephelus.itajara,1822,NA
Eremichthys.acros,1948,NA
Erimonax.monachus,1868,NA
Erimystax.cahni,1956,NA
Erimystax.dissimilis,1840,NA
Erimystax.harryi,1956,NA
Erimystax.insignis,1956,NA
Erimystax.x-punctatus,1956,NA
Erimyzon.oblongus,1814,NA
Erimyzon.sucetta,1803,NA
Erimyzon.tenuis,1855,NA
Erotelis.smaragdus,1837,NA
Esox.lucius,1758,NA
Esox.masquinongy,1824,NA
Esox.niger,1818,NA
Etheostoma .akatulo,2009,NA
Etheostoma .erythrozonum,2009,NA
Etheostoma.acuticeps,1959,NA
Etheostoma.aquali,1978,NA
Etheostoma.artesiae,1881,NA
Etheostoma.asprigene,1878,NA
Etheostoma.atripinne,1877,NA
Etheostoma.australe,1889,NA
Etheostoma.baileyi,1982,NA
Etheostoma.barbouri,1971,NA
Etheostoma.barrenense,1982,NA
Etheostoma.basilare,2003,NA
Etheostoma.bellator,1993,NA
Etheostoma.bellum,1968,NA
Etheostoma.bison,1997,NA
Etheostoma.blennioides,1819,NA
Etheostoma.blennius,1887,NA
Etheostoma.boschungi,1974,NA
Etheostoma.brevirostrum,1991,NA
Etheostoma.burri,1997,NA
Etheostoma.caeruleum,1845,NA
Etheostoma.camurum,1870,NA
Etheostoma.cervus,2003,NA
Etheostoma.chermocki,1992,NA
Etheostoma.chienense,1992,NA
Etheostoma.chlorobranchium,1972,NA
Etheostoma.chlorosoma,1881,NA
Etheostoma.chuckwachatte,1993,NA
Etheostoma.cinereum,1845,NA
Etheostoma.collettei,1969,NA
Etheostoma.collis,1935,NA
Etheostoma.colorosum,1993,NA
Etheostoma.coosae,1945,NA
Etheostoma.corona,1992,NA
Etheostoma.cragini,1885,NA
Etheostoma.crossopterum,1985,NA
Etheostoma.davisoni,1885,NA
Etheostoma.denoncourti,1997,NA
Etheostoma.derivativum,2003,NA
Etheostoma.ditrema,1965,NA
Etheostoma.douglasi,1993,NA
Etheostoma.duryi,1889,NA
Etheostoma.edwini,1935,NA
Etheostoma.etnieri,1977,NA
Etheostoma.etowahae,1993,NA
Etheostoma.euzonum,1940,NA
Etheostoma.exile,1859,NA
Etheostoma.flabellare,1819,NA
Etheostoma.flavum,1989,NA
Etheostoma.fonticola,1886,NA
Etheostoma.forbesi,1992,NA
Etheostoma.fragi,1968,NA
Etheostoma.fricksium,1923,NA
Etheostoma.fusiforme,1854,NA
Etheostoma.gracile,1859,NA
Etheostoma.grahami,1859,NA
Etheostoma.gutselli,1932,NA
Etheostoma.histrio,1887,NA
Etheostoma.hopkinsi,1945,NA
Etheostoma.inscriptum,1878,NA
Etheostoma.jessiae,1878,NA
Etheostoma.jordani,1891,NA
Etheostoma.juliae,1891,NA
Etheostoma.kanawhae,1941,NA
Etheostoma.kantuckeense,1997,NA
Etheostoma.kennicotti,1863,NA
Etheostoma.lachneri,1994,NA
Etheostoma.lawrencei,2002,NA
Etheostoma.lemniscatum,2008,NA
Etheostoma.lepidum,1853,NA
Etheostoma.longimanum,1888,NA
Etheostoma.luteovinctum,1887,NA
Etheostoma.lynceum,1885,NA
Etheostoma.maculatum,1840,NA
Etheostoma.mariae,1947,NA
Etheostoma.marmorpinnum,2008,NA
Etheostoma.microlepidum,1967,NA
Etheostoma.microperca,1888,NA
Etheostoma.moorei,1964,NA
Etheostoma.neopterum,1978,NA
Etheostoma.nianguae,1887,NA
Etheostoma.nigripinne,1985,NA
Etheostoma.nigrum,1820,NA
Etheostoma.nuchale,1965,NA
Etheostoma.obeyense,1892,NA
Etheostoma.occidentale,2007,NA
Etheostoma.okaloosae,1941,NA
Etheostoma.olivaceum,1979,NA
Etheostoma.olmstedi,1842,NA
Etheostoma.oophylax,1992,NA
Etheostoma.orientale,2007,NA
Etheostoma.osburni,1932,NA
Etheostoma.pallididorsum,1962,NA
Etheostoma.parvipinne,1887,NA
Etheostoma.percnurum,1994,NA
Etheostoma.perlongum,1946,NA
Etheostoma.phytophilum,1999,NA
Etheostoma.planasaxatile,2007,NA
Etheostoma.podostemone,1889,NA
Etheostoma.pottsii,1859,NA
Etheostoma.proeliare,1881,NA
Etheostoma.pseudovulatum,1992,NA
Etheostoma.punctulatum,1854,NA
Etheostoma.pyrrhogaster,1988,NA
Etheostoma.radiosum,1941,NA
Etheostoma.rafinesquei,1982,NA
Etheostoma.ramseyi,1994,NA
Etheostoma.raneyi,1994,NA
Etheostoma.rubrum,1966,NA
Etheostoma.rufilineatum,1870,NA
Etheostoma.rupestre,1887,NA
Etheostoma.sagitta,1883,NA
Etheostoma.saludae,1935,NA
Etheostoma.sanguifluum,1870,NA
Etheostoma.scotti,1995,NA
Etheostoma.sequatchiense,1979,NA
Etheostoma.serrifer,1935,NA
Etheostoma.simoterum,1868,NA
Etheostoma.sitikuense,2008,NA
Etheostoma.smithi,1976,NA
Etheostoma.spectabile,1854,NA
Etheostoma.squamiceps,1877,NA
Etheostoma.stigmaeum,1877,NA
Etheostoma.striatulum,1977,NA
Etheostoma.susanae,1883,NA
Etheostoma.swaini,1884,NA
